,Date,Precipitation
0,01/01/2019,2
1,01/02/2019,23
2,01/03/2019,32
3,01/04/2019,0
4,01/05/2019,0
5,01/06/2019,26
6,01/07/2019,1
7,01/08/2019,2
8,01/09/2019,23
9,01/10/2019,12
10,01/11/2019,74
11,01/12/2019,10
12,01/13/2019,1
13,01/14/2019,17
14,01/15/2019,10
15,01/16/2019,21
16,01/17/2019,0
17,01/18/2019,0
18,01/19/2019,1
19,01/20/2019,50
20,01/21/2019,15
21,01/22/2019,66
22,01/23/2019,29
23,01/24/2019,21
24,01/25/2019,25
25,01/26/2019,25
26,01/27/2019,1
27,01/28/2019,0
28,01/29/2019,2
29,01/30/2019,31
30,01/31/2019,70
31,02/01/2019,0
32,02/02/2019,0
33,02/03/2019,0
34,02/04/2019,0
35,02/05/2019,4
36,02/06/2019,0
37,02/07/2019,0
38,02/08/2019,0
39,02/09/2019,0
40,02/10/2019,0
41,02/11/2019,3
42,02/12/2019,93
43,02/13/2019,0
44,02/14/2019,0
45,02/15/2019,0
46,02/16/2019,0
47,02/17/2019,0
48,02/18/2019,0
49,02/19/2019,0
50,02/20/2019,0
51,02/21/2019,0
52,02/22/2019,69
53,02/23/2019,0
54,02/24/2019,0
55,02/25/2019,0
56,02/26/2019,0
57,02/27/2019,0
58,02/28/2019,0
59,03/01/2019,0
60,03/02/2019,31
61,03/03/2019,0
62,03/04/2019,0
63,03/05/2019,2
64,03/06/2019,22
65,03/07/2019,0
66,03/08/2019,0
67,03/09/2019,6
68,03/10/2019,17
69,03/11/2019,1
70,03/12/2019,0
71,03/13/2019,0
72,03/14/2019,0
73,03/15/2019,0
74,03/16/2019,35
75,03/17/2019,4
76,03/18/2019,0
77,03/19/2019,62
78,03/20/2019,0
79,03/21/2019,0
80,03/22/2019,0
81,03/23/2019,0
82,03/24/2019,0
83,03/25/2019,0
84,03/26/2019,0
85,03/27/2019,0
86,03/28/2019,0
87,03/29/2019,0
88,03/30/2019,0
89,03/31/2019,0
90,04/01/2019,0
91,04/02/2019,0
92,04/03/2019,0
93,04/04/2019,0
94,04/05/2019,0
95,04/06/2019,0
96,04/07/2019,0
97,04/08/2019,0
98,04/09/2019,0
99,04/10/2019,0
100,04/11/2019,4
101,04/12/2019,24
102,04/13/2019,70
103,04/14/2019,130
104,04/15/2019,0
105,04/16/2019,0
106,04/17/2019,10
107,04/18/2019,0
108,04/19/2019,0
109,04/20/2019,0
110,04/21/2019,8
111,04/22/2019,2
112,04/23/2019,0
113,04/24/2019,14
114,04/25/2019,4
115,04/26/2019,0
116,04/27/2019,146
117,04/28/2019,240
118,04/29/2019,6
119,04/30/2019,74
120,05/01/2019,158
121,05/02/2019,0
122,05/03/2019,2
123,05/04/2019,6
124,05/05/2019,12
125,05/06/2019,148
126,05/07/2019,90
127,05/08/2019,0
128,05/09/2019,0
129,05/10/2019,106
130,05/11/2019,10
131,05/12/2019,0
132,05/13/2019,0
133,05/14/2019,64
134,05/15/2019,2
135,05/16/2019,2
136,05/17/2019,0
137,05/18/2019,108
138,05/19/2019,0
139,05/20/2019,130
140,05/21/2019,244
141,05/22/2019,8
142,05/23/2019,10
143,05/24/2019,66
144,05/25/2019,4
145,05/26/2019,0
146,05/27/2019,0
147,05/28/2019,6
148,05/29/2019,18
149,05/30/2019,160
150,05/31/2019,8
151,06/01/2019,60
152,06/02/2019,0
153,06/03/2019,100
154,06/04/2019,10
155,06/05/2019,34
156,06/06/2019,32
157,06/07/2019,26
158,06/08/2019,0
159,06/09/2019,0
160,06/10/2019,0
161,06/11/2019,8
162,06/12/2019,0
163,06/13/2019,0
164,06/14/2019,0
165,06/15/2019,0
166,06/16/2019,0
167,06/17/2019,18
168,06/18/2019,4
169,06/19/2019,8
170,06/20/2019,0
171,06/21/2019,16
172,06/22/2019,0
173,06/23/2019,10
174,06/24/2019,0
175,06/25/2019,0
176,06/26/2019,0
177,06/27/2019,38
178,06/28/2019,0
179,06/29/2019,0
180,06/30/2019,0
181,07/01/2019,0
182,07/02/2019,0
183,07/03/2019,68
184,07/04/2019,0
185,07/05/2019,0
186,07/06/2019,0
187,07/07/2019,0
188,07/08/2019,2
189,07/09/2019,0
190,07/10/2019,0
191,07/11/2019,44
192,07/12/2019,22
193,07/13/2019,34
194,07/14/2019,2
195,07/15/2019,104
196,07/16/2019,0
197,07/17/2019,0
198,07/18/2019,0
199,07/19/2019,10
200,07/20/2019,0
201,07/21/2019,0
202,07/22/2019,10
203,07/23/2019,0
204,07/24/2019,0
205,07/25/2019,0
206,07/26/2019,0
207,07/27/2019,46
208,07/28/2019,2
209,07/29/2019,30
210,07/30/2019,0
211,07/31/2019,4
212,08/01/2019,90
213,08/02/2019,2
214,08/03/2019,372
215,08/04/2019,10
216,08/05/2019,0
217,08/06/2019,0
218,08/07/2019,0
219,08/08/2019,10
220,08/09/2019,0
221,08/10/2019,0
222,08/11/2019,0
223,08/12/2019,0
224,08/13/2019,0
225,08/14/2019,16
226,08/15/2019,44
227,08/16/2019,0
228,08/17/2019,0
229,08/18/2019,0
230,08/19/2019,0
231,08/20/2019,0
232,08/21/2019,0
233,08/22/2019,0
234,08/23/2019,0
235,08/24/2019,0
236,08/25/2019,0
237,08/26/2019,28
238,08/27/2019,0
239,08/28/2019,0
240,08/29/2019,0
241,08/30/2019,0
242,08/31/2019,0
243,09/01/2019,0
244,09/02/2019,0
245,09/03/2019,22
246,09/04/2019,1
247,09/05/2019,0
248,09/06/2019,0
249,09/07/2019,0
250,09/08/2019,0
251,09/09/2019,0
252,09/10/2019,1
253,09/11/2019,0
254,09/12/2019,0
255,09/13/2019,0
256,09/14/2019,0
257,09/15/2019,0
258,09/16/2019,0
259,09/17/2019,3
260,09/18/2019,0
261,09/19/2019,0
262,09/20/2019,0
263,09/21/2019,0
264,09/22/2019,0
265,09/23/2019,0
266,09/24/2019,0
267,09/25/2019,12
268,09/26/2019,129
269,09/27/2019,16
270,09/28/2019,0
271,09/29/2019,0
272,09/30/2019,0
273,10/01/2019,10
274,10/02/2019,0
275,10/03/2019,11
276,10/04/2019,0
277,10/05/2019,0
278,10/06/2019,28
279,10/07/2019,0
280,10/08/2019,0
281,10/09/2019,0
282,10/10/2019,0
283,10/11/2019,0
284,10/12/2019,0
285,10/13/2019,0
286,10/14/2019,0
287,10/15/2019,0
288,10/16/2019,0
289,10/17/2019,0
290,10/18/2019,0
291,10/19/2019,0
292,10/20/2019,0
293,10/21/2019,0
294,10/22/2019,0
295,10/23/2019,0
296,10/24/2019,0
297,10/25/2019,0
298,10/26/2019,0
299,10/27/2019,0
300,10/28/2019,0
301,10/29/2019,39
302,10/30/2019,15
303,10/31/2019,78
304,11/01/2019,0
305,11/02/2019,1
306,11/03/2019,8
307,11/04/2019,1
308,11/05/2019,0
309,11/06/2019,7
310,11/07/2019,10
311,11/08/2019,2
312,11/09/2019,0
313,11/10/2019,0
314,11/11/2019,3
315,11/12/2019,0
316,11/13/2019,0
317,11/14/2019,5
318,11/15/2019,76
319,11/16/2019,0
320,11/17/2019,0
321,11/18/2019,0
322,11/19/2019,0
323,11/20/2019,0
324,11/21/2019,15
325,11/22/2019,9
326,11/23/2019,18
327,11/24/2019,0
328,11/25/2019,0
329,11/26/2019,0
330,11/27/2019,0
331,11/28/2019,14
332,11/29/2019,18
333,11/30/2019,1
334,12/01/2019,0
335,12/02/2019,33
336,12/03/2019,6
337,12/04/2019,0
338,12/05/2019,0
339,12/06/2019,0
340,12/07/2019,0
341,12/08/2019,1
342,12/09/2019,0
343,12/10/2019,0
344,12/11/2019,2
345,12/12/2019,0
346,12/13/2019,0
347,12/14/2019,3
348,12/15/2019,0
349,12/16/2019,0
350,12/17/2019,0
351,12/18/2019,0
352,12/19/2019,0
353,12/20/2019,0
354,12/21/2019,0
355,12/22/2019,1
356,12/23/2019,50
357,12/24/2019,63
358,12/25/2019,1
359,12/26/2019,0
360,12/27/2019,1
361,12/28/2019,3
362,12/29/2019,0
363,12/30/2019,0
364,12/31/2019,0
365,01/01/2020,0
366,01/02/2020,0
367,01/03/2020,0
368,01/04/2020,0
369,01/05/2020,41
370,01/06/2020,0
371,01/07/2020,0
372,01/08/2020,0
373,01/09/2020,0
374,01/10/2020,0
375,01/11/2020,0
376,01/12/2020,0
377,01/13/2020,0
378,01/14/2020,2
379,01/15/2020,2
380,01/16/2020,1
381,01/17/2020,2
382,01/18/2020,0
383,01/19/2020,0
384,01/20/2020,0
385,01/21/2020,0
386,01/22/2020,0
387,01/23/2020,0
388,01/24/2020,0
389,01/25/2020,0
390,01/26/2020,0
391,01/27/2020,10
392,01/28/2020,8
393,01/29/2020,9
394,01/30/2020,0
395,01/31/2020,13
396,02/01/2020,5
397,02/02/2020,10
398,02/03/2020,127
399,02/04/2020,45
400,02/05/2020,64
401,02/06/2020,0
402,02/07/2020,0
403,02/08/2020,0
404,02/09/2020,0
405,02/10/2020,2
406,02/11/2020,18
407,02/12/2020,0
408,02/13/2020,0
409,02/14/2020,0
410,02/15/2020,0
411,02/16/2020,0
412,02/17/2020,0
413,02/18/2020,0
414,02/19/2020,0
415,02/20/2020,10
416,02/21/2020,1
417,02/22/2020,1
418,02/23/2020,0
419,02/24/2020,74
420,02/25/2020,0
421,02/26/2020,5
422,02/27/2020,24
423,02/28/2020,4
424,02/29/2020,3
425,03/01/2020,0
426,03/02/2020,15
427,03/03/2020,2
428,03/04/2020,19
429,03/05/2020,102
430,03/06/2020,1
431,03/07/2020,37
432,03/08/2020,43
433,03/09/2020,1
434,03/10/2020,12
435,03/11/2020,7
436,03/12/2020,0
437,03/13/2020,0
438,03/14/2020,0
439,03/15/2020,0
440,03/16/2020,0
441,03/17/2020,0
442,03/18/2020,0
443,03/19/2020,0
444,03/20/2020,0
445,03/21/2020,0
446,03/22/2020,38
447,03/23/2020,189
448,03/24/2020,18
449,03/25/2020,0
450,03/26/2020,0
451,03/27/2020,0
452,03/28/2020,0
453,03/29/2020,0
454,03/30/2020,0
455,03/31/2020,0
456,04/01/2020,0
457,04/02/2020,0
458,04/03/2020,0
459,04/04/2020,0
460,04/05/2020,0
461,04/06/2020,0
462,04/07/2020,0
463,04/08/2020,0
464,04/09/2020,0
465,04/10/2020,0
466,04/11/2020,0
467,04/12/2020,0
468,04/13/2020,0
469,04/14/2020,3
470,04/15/2020,0
471,04/16/2020,0
472,04/17/2020,0
473,04/18/2020,0
474,04/19/2020,11
475,04/20/2020,0
476,04/21/2020,0
477,04/22/2020,0
478,04/23/2020,0
479,04/24/2020,0
480,04/25/2020,4
481,04/26/2020,0
482,04/27/2020,0
483,04/28/2020,0
484,04/29/2020,128
485,04/30/2020,161
486,05/01/2020,11
487,05/02/2020,1
488,05/03/2020,227
489,05/04/2020,68
490,05/05/2020,0
491,05/06/2020,19
492,05/07/2020,16
493,05/08/2020,0
494,05/09/2020,0
495,05/10/2020,0
496,05/11/2020,1
497,05/12/2020,0
498,05/13/2020,0
499,05/14/2020,12
500,05/15/2020,0
501,05/16/2020,0
502,05/17/2020,12
503,05/18/2020,0
504,05/19/2020,0
505,05/20/2020,84
506,05/21/2020,0
507,05/22/2020,0
508,05/23/2020,0
509,05/24/2020,58
510,05/25/2020,7
511,05/26/2020,1
512,05/27/2020,0
513,05/28/2020,38
514,05/29/2020,0
515,05/30/2020,0
516,05/31/2020,14
517,06/01/2020,9
518,06/02/2020,0
519,06/03/2020,184
520,06/04/2020,2
521,06/05/2020,0
522,06/06/2020,1
523,06/07/2020,0
524,06/08/2020,8
525,06/09/2020,63
526,06/10/2020,2
527,06/11/2020,4
528,06/12/2020,142
529,06/13/2020,7
530,06/14/2020,24
531,06/15/2020,167
532,06/16/2020,2
533,06/17/2020,46
534,06/18/2020,258
535,06/19/2020,21
536,06/20/2020,61
537,06/21/2020,38
538,06/22/2020,5
539,06/23/2020,29
540,06/24/2020,0
541,06/25/2020,0
542,06/26/2020,2
543,06/27/2020,0
544,06/28/2020,18
545,06/29/2020,0
546,06/30/2020,0
547,07/01/2020,0
548,07/02/2020,0
549,07/03/2020,20
550,07/04/2020,175
551,07/05/2020,0
552,07/06/2020,0
553,07/07/2020,158
554,07/08/2020,0
555,07/09/2020,0
556,07/10/2020,0
557,07/11/2020,0
558,07/12/2020,0
559,07/13/2020,0
560,07/14/2020,0
561,07/15/2020,2
562,07/16/2020,23
563,07/17/2020,31
564,07/18/2020,41
565,07/19/2020,124
566,07/20/2020,3
567,07/21/2020,0
568,07/22/2020,2
569,07/23/2020,0
570,07/24/2020,4
571,07/25/2020,12
572,07/26/2020,1
573,07/27/2020,0
574,07/28/2020,0
575,07/29/2020,0
576,07/30/2020,6
577,07/31/2020,0
578,08/01/2020,0
579,08/02/2020,0
580,08/03/2020,0
581,08/04/2020,0
582,08/05/2020,0
583,08/06/2020,0
584,08/07/2020,0
585,08/08/2020,4
586,08/09/2020,0
587,08/10/2020,2
588,08/11/2020,0
589,08/12/2020,0
590,08/13/2020,0
591,08/14/2020,0
592,08/15/2020,235
593,08/16/2020,91
594,08/17/2020,0
595,08/18/2020,171
596,08/19/2020,371
597,08/20/2020,5
598,08/21/2020,0
599,08/22/2020,0
600,08/23/2020,1
601,08/24/2020,0
602,08/25/2020,3
603,08/26/2020,0
604,08/27/2020,0
605,08/28/2020,0
606,08/29/2020,0
607,08/30/2020,0
608,08/31/2020,0
609,09/01/2020,1
610,09/02/2020,3
611,09/03/2020,0
612,09/04/2020,0
613,09/05/2020,0
614,09/06/2020,0
615,09/07/2020,0
616,09/08/2020,22
617,09/09/2020,0
618,09/10/2020,0
619,09/11/2020,0
620,09/12/2020,0
621,09/13/2020,0
622,09/14/2020,0
623,09/15/2020,0
624,09/16/2020,0
625,09/17/2020,0
626,09/18/2020,0
627,09/19/2020,0
628,09/20/2020,0
629,09/21/2020,0
630,09/22/2020,0
631,09/23/2020,0
632,09/24/2020,22
633,09/25/2020,0
634,09/26/2020,118
635,09/27/2020,105
636,09/28/2020,37
637,09/29/2020,11
638,09/30/2020,107
639,10/01/2020,70
640,10/02/2020,0
641,10/03/2020,0
642,10/04/2020,0
643,10/05/2020,49
644,10/06/2020,50
645,10/07/2020,0
646,10/08/2020,70
647,10/09/2020,0
648,10/10/2020,0
649,10/11/2020,0
650,10/12/2020,2
651,10/13/2020,20
652,10/14/2020,0
653,10/15/2020,2
654,10/16/2020,3
655,10/17/2020,1
656,10/18/2020,40
657,10/19/2020,0
658,10/20/2020,0
659,10/21/2020,0
660,10/22/2020,0
661,10/23/2020,0
662,10/24/2020,81
663,10/25/2020,8
664,10/26/2020,0
665,10/27/2020,0
666,10/28/2020,2
667,10/29/2020,10
668,10/30/2020,30
669,10/31/2020,50
670,11/01/2020,0
671,11/02/2020,20
672,11/03/2020,3
673,11/04/2020,1
674,11/05/2020,8
675,11/06/2020,0
676,11/07/2020,0
677,11/08/2020,0
678,11/09/2020,0
679,11/10/2020,0
680,11/11/2020,1
681,11/12/2020,0
682,11/13/2020,0
683,11/14/2020,0
684,11/15/2020,0
685,11/16/2020,1
686,11/17/2020,30
687,11/18/2020,0
688,11/19/2020,0
689,11/20/2020,120
690,11/21/2020,10
691,11/22/2020,0
692,11/23/2020,2
693,11/24/2020,0
694,11/25/2020,0
695,11/26/2020,0
696,11/27/2020,0
697,11/28/2020,3
698,11/29/2020,0
699,11/30/2020,0
700,12/01/2020,0
701,12/02/2020,0
702,12/03/2020,0
703,12/04/2020,0
704,12/05/2020,0
705,12/06/2020,0
706,12/07/2020,1
707,12/08/2020,6
708,12/09/2020,2
709,12/10/2020,80
710,12/11/2020,100
711,12/12/2020,10
712,12/13/2020,5
713,12/14/2020,-9999
714,12/15/2020,0
715,12/16/2020,0
716,12/17/2020,0
717,12/18/2020,0
718,12/19/2020,0
719,12/20/2020,0
720,12/21/2020,0
721,12/22/2020,7
722,12/23/2020,11
723,12/24/2020,60
724,12/25/2020,80
725,12/26/2020,0
726,12/27/2020,2
727,12/28/2020,3
728,12/29/2020,5
729,12/30/2020,1
730,12/31/2020,3
731,01/01/2021,10
732,01/02/2021,0
733,01/03/2021,2
734,01/04/2021,100
735,01/05/2021,10
736,01/06/2021,30
737,01/07/2021,0
738,01/08/2021,0
739,01/09/2021,0
740,01/10/2021,40
741,01/11/2021,12
742,01/12/2021,5
743,01/13/2021,20
744,01/14/2021,8
745,01/15/2021,3
746,01/16/2021,3
747,01/17/2021,0
748,01/18/2021,0
749,01/19/2021,2
750,01/20/2021,0
751,01/21/2021,0
752,01/22/2021,0
753,01/23/2021,0
754,01/24/2021,0
755,01/25/2021,0
756,01/26/2021,3
757,01/27/2021,0
758,01/28/2021,0
759,01/29/2021,11
760,01/30/2021,20
761,01/31/2021,50
762,02/01/2021,30
763,02/02/2021,0
764,02/03/2021,8
765,02/04/2021,0
766,02/05/2021,8
767,02/06/2021,0
768,02/07/2021,0
769,02/08/2021,0
770,02/09/2021,6
771,02/10/2021,40
772,02/11/2021,20
773,02/12/2021,0
774,02/13/2021,0
775,02/14/2021,0
776,02/15/2021,0
777,02/16/2021,0
778,02/17/2021,58
779,02/18/2021,0
780,02/19/2021,40
781,02/20/2021,0
782,02/21/2021,0
783,02/22/2021,0
784,02/23/2021,0
785,02/24/2021,0
786,02/25/2021,0
787,02/26/2021,0
788,02/27/2021,0
789,02/28/2021,5
790,03/01/2021,0
791,03/02/2021,0
792,03/03/2021,0
793,03/04/2021,0
794,03/05/2021,2
795,03/06/2021,0
796,03/07/2021,0
797,03/08/2021,0
798,03/09/2021,0
799,03/10/2021,0
800,03/11/2021,9
801,03/12/2021,0
802,03/13/2021,0
803,03/14/2021,50
804,03/15/2021,160
805,03/16/2021,30
806,03/17/2021,16
807,03/18/2021,100
808,03/19/2021,30
809,03/20/2021,0
810,03/21/2021,0
811,03/22/2021,0
812,03/23/2021,10
813,03/24/2021,0
814,03/25/2021,0
815,03/26/2021,0
816,03/27/2021,0
817,03/28/2021,0
818,03/29/2021,0
819,03/30/2021,0
820,03/31/2021,0
821,04/01/2021,70
822,04/02/2021,9
823,04/03/2021,0
824,04/04/2021,0
825,04/05/2021,0
826,04/06/2021,5
827,04/07/2021,0
828,04/08/2021,1
829,04/09/2021,0
830,04/10/2021,0
831,04/11/2021,0
832,04/12/2021,0
833,04/13/2021,132
834,04/14/2021,85
835,04/15/2021,0
836,04/16/2021,0
837,04/17/2021,0
838,04/18/2021,8
839,04/19/2021,0
840,04/20/2021,27
841,04/21/2021,7
842,04/22/2021,30
843,04/23/2021,0
844,04/24/2021,0
845,04/25/2021,0
846,04/26/2021,0
847,04/27/2021,30
848,04/28/2021,3
849,04/29/2021,10
850,04/30/2021,4
851,05/01/2021,68
852,05/02/2021,33
853,05/03/2021,0
854,05/04/2021,0
855,05/05/2021,8
856,05/06/2021,0
857,05/07/2021,55
858,05/08/2021,0
859,05/09/2021,0
860,05/10/2021,0
861,05/11/2021,0
862,05/12/2021,63
863,05/13/2021,56
864,05/14/2021,20
865,05/15/2021,6
866,05/16/2021,30
867,05/17/2021,56
868,05/18/2021,7
869,05/19/2021,39
870,05/20/2021,90
871,05/21/2021,0
872,05/22/2021,0
873,05/23/2021,10
874,05/24/2021,0
875,05/25/2021,40
876,05/26/2021,0
877,05/27/2021,120
878,05/28/2021,30
879,05/29/2021,4
880,05/30/2021,0
881,05/31/2021,40
882,06/01/2021,2
883,06/02/2021,0
884,06/03/2021,0
885,06/04/2021,0
886,06/05/2021,40
887,06/06/2021,0
888,06/07/2021,0
889,06/08/2021,0
890,06/09/2021,0
891,06/10/2021,0
892,06/11/2021,0
893,06/12/2021,20
894,06/13/2021,4
895,06/14/2021,10
896,06/15/2021,0
897,06/16/2021,0
898,06/17/2021,5
899,06/18/2021,20
900,06/19/2021,0
901,06/20/2021,0
902,06/21/2021,0
903,06/22/2021,0
904,06/23/2021,0
905,06/24/2021,0
906,06/25/2021,230
907,06/26/2021,0
908,06/27/2021,0
909,06/28/2021,0
910,06/29/2021,1
911,06/30/2021,80
912,07/01/2021,40
913,07/02/2021,100
914,07/03/2021,90
915,07/04/2021,0
916,07/05/2021,0
917,07/06/2021,0
918,07/07/2021,0
919,07/08/2021,0
920,07/09/2021,0
921,07/10/2021,0
922,07/11/2021,0
923,07/12/2021,0
924,07/13/2021,0
925,07/14/2021,0
926,07/15/2021,30
927,07/16/2021,0
928,07/17/2021,0
929,07/18/2021,270
930,07/19/2021,271
931,07/20/2021,250
932,07/21/2021,0
933,07/22/2021,0
934,07/23/2021,0
935,07/24/2021,0
936,07/25/2021,0
937,07/26/2021,0
938,07/27/2021,0
939,07/28/2021,160
940,07/29/2021,0
941,07/30/2021,0
942,07/31/2021,20
943,08/01/2021,70
944,08/02/2021,120
945,08/03/2021,0
946,08/04/2021,0
947,08/05/2021,20
948,08/06/2021,0
949,08/07/2021,0
950,08/08/2021,0
951,08/09/2021,100
952,08/10/2021,0
953,08/11/2021,0
954,08/12/2021,0
955,08/13/2021,0
956,08/14/2021,0
957,08/15/2021,0
958,08/16/2021,50
959,08/17/2021,4
960,08/18/2021,0
961,08/19/2021,0
962,08/20/2021,0
963,08/21/2021,0
964,08/22/2021,0
965,08/23/2021,0
966,08/24/2021,15
967,08/25/2021,60
968,08/26/2021,0
969,08/27/2021,40
970,08/28/2021,160
971,08/29/2021,50
972,08/30/2021,0
973,08/31/2021,42
974,09/01/2021,50
975,09/02/2021,0
976,09/03/2021,0
977,09/04/2021,0
978,09/05/2021,0
979,09/06/2021,0
980,09/07/2021,0
981,09/08/2021,0
982,09/09/2021,0
983,09/10/2021,0
984,09/11/2021,0
985,09/12/2021,0
986,09/13/2021,0
987,09/14/2021,40
988,09/15/2021,0
989,09/16/2021,2
990,09/17/2021,100
991,09/18/2021,5
992,09/19/2021,0
993,09/20/2021,10
994,09/21/2021,2
995,09/22/2021,7
996,09/23/2021,0
997,09/24/2021,0
998,09/25/2021,0
999,09/26/2021,0
1000,09/27/2021,20
1001,09/28/2021,40
1002,09/29/2021,8
1003,09/30/2021,0
1004,10/01/2021,0
1005,10/02/2021,0
1006,10/03/2021,0
1007,10/04/2021,0
1008,10/05/2021,0
1009,10/06/2021,0
1010,10/07/2021,0
1011,10/08/2021,0
1012,10/09/2021,0
1013,10/10/2021,0
1014,10/11/2021,60
1015,10/12/2021,30
1016,10/13/2021,0
1017,10/14/2021,0
1018,10/15/2021,30
1019,10/16/2021,0
1020,10/17/2021,0
1021,10/18/2021,0
1022,10/19/2021,0
1023,10/20/2021,0
1024,10/21/2021,3
1025,10/22/2021,0
1026,10/23/2021,0
1027,10/24/2021,0
1028,10/25/2021,0
1029,10/26/2021,0
1030,10/27/2021,0
1031,10/28/2021,0
1032,10/29/2021,0
1033,10/30/2021,0
1034,10/31/2021,0
1035,11/01/2021,0
1036,11/02/2021,40
1037,11/03/2021,1
1038,11/04/2021,90
1039,11/05/2021,40
1040,11/06/2021,2
1041,11/07/2021,10
1042,11/08/2021,1
1043,11/09/2021,0
1044,11/10/2021,0
1045,11/11/2021,0
1046,11/12/2021,0
1047,11/13/2021,0
1048,11/14/2021,0
1049,11/15/2021,0
1050,11/16/2021,0
1051,11/17/2021,0
1052,11/18/2021,4
1053,11/19/2021,13
1054,11/20/2021,0
1055,11/21/2021,0
1056,11/22/2021,0
1057,11/23/2021,0
1058,11/24/2021,0
1059,11/25/2021,0
1060,11/26/2021,2
1061,11/27/2021,0
1062,11/28/2021,10
1063,11/29/2021,4
1064,11/30/2021,0
1065,12/01/2021,1
1066,12/02/2021,0
1067,12/03/2021,0
1068,12/04/2021,0
1069,12/05/2021,20
1070,12/06/2021,27
1071,12/07/2021,70
1072,12/08/2021,0
1073,12/09/2021,0
1074,12/10/2021,20
1075,12/11/2021,70
1076,12/12/2021,80
1077,12/13/2021,21
1078,12/14/2021,0
1079,12/15/2021,0
1080,12/16/2021,50
1081,12/17/2021,0
1082,12/18/2021,9
1083,12/19/2021,1
1084,12/20/2021,9
1085,12/21/2021,4
1086,12/22/2021,0
1087,12/23/2021,3
1088,12/24/2021,130
1089,12/25/2021,12
1090,12/26/2021,61
1091,12/27/2021,140
1092,12/28/2021,5
1093,12/29/2021,10
1094,12/30/2021,5
1095,12/31/2021,8
1096,01/01/2022,1
1097,01/02/2022,0
1098,01/03/2022,22
1099,01/04/2022,0
1100,01/05/2022,3
1101,01/06/2022,30
1102,01/07/2022,0
1103,01/08/2022,45
1104,01/09/2022,7
1105,01/10/2022,0
1106,01/11/2022,0
1107,01/12/2022,0
1108,01/13/2022,0
1109,01/14/2022,0
1110,01/15/2022,0
1111,01/16/2022,0
1112,01/17/2022,13
1113,01/18/2022,0
1114,01/19/2022,0
1115,01/20/2022,9
1116,01/21/2022,0
1117,01/22/2022,2
1118,01/23/2022,0
1119,01/24/2022,0
1120,01/25/2022,1
1121,01/26/2022,6
1122,01/27/2022,8
1123,01/28/2022,7
1124,01/29/2022,3
1125,01/30/2022,0
1126,01/31/2022,0
1127,02/01/2022,2
1128,02/02/2022,11
1129,02/03/2022,0
1130,02/04/2022,0
1131,02/05/2022,0
1132,02/06/2022,0
1133,02/07/2022,20
1134,02/08/2022,1
1135,02/09/2022,1
1136,02/10/2022,0
1137,02/11/2022,7
1138,02/12/2022,0
1139,02/13/2022,0
1140,02/14/2022,0
1141,02/15/2022,2
1142,02/16/2022,0
1143,02/17/2022,37
1144,02/18/2022,0
1145,02/19/2022,0
1146,02/20/2022,0
1147,02/21/2022,2
1148,02/22/2022,0
1149,02/23/2022,20
1150,02/24/2022,0
1151,02/25/2022,0
1152,02/26/2022,8
1153,02/27/2022,0
1154,02/28/2022,0
1155,03/01/2022,0
1156,03/02/2022,0
1157,03/03/2022,8
1158,03/04/2022,10
1159,03/05/2022,0
1160,03/06/2022,0
1161,03/07/2022,2
1162,03/08/2022,0
1163,03/09/2022,0
1164,03/10/2022,0
1165,03/11/2022,0
1166,03/12/2022,0
1167,03/13/2022,0
1168,03/14/2022,0
1169,03/15/2022,0
1170,03/16/2022,80
1171,03/17/2022,0
1172,03/18/2022,0
1173,03/19/2022,0
1174,03/20/2022,0
1175,03/21/2022,0
1176,03/22/2022,0
1177,03/23/2022,0
1178,03/24/2022,0
1179,03/25/2022,0
1180,03/26/2022,0
1181,03/27/2022,0
1182,03/28/2022,0
1183,03/29/2022,0
1184,03/30/2022,0
1185,03/31/2022,4
